,relevance,disagree
409-Homme,Irrelevant,False
410-Mythe,Relevant,False
410-Symbole,Irrelevant,False
410-Homme,Irrelevant,False
411-Mythe,Relevant,False
411-Symbole,Irrelevant,True
411-Homme,Irrelevant,False
412-Mythe,Relevant,False
412-Symbole,Irrelevant,True
412-Homme,Irrelevant,True
413-Mythe,Relevant,False
413-Symbole,Irrelevant,False
413-Homme,Irrelevant,False
414-Mythe,Relevant,False
414-Symbole,Irrelevant,False
414-Homme,Irrelevant,True
415-Mythe,Relevant,False
415-Symbole,Irrelevant,False
415-Homme,Irrelevant,False
416-Mythe,Irrelevant,True
416-Symbole,Irrelevant,False
416-Homme,Irrelevant,False
417-Mythe,Relevant,False
417-Symbole,Irrelevant,True
417-Homme,Irrelevant,False
418-Mythe,Relevant,False
418-Symbole,Irrelevant,False
418-Homme,Irrelevant,False
419-Mythe,Relevant,False
419-Symbole,Irrelevant,False
419-Homme,Irrelevant,False
420-Mythe,Relevant,False
420-Symbole,Relevant,False
420-Homme,Irrelevant,False
421-Mythe,Relevant,False
421-Symbole,Irrelevant,True
421-Homme,Irrelevant,False
422-Mythe,Irrelevant,True
422-Symbole,Relevant,False
422-Homme,Irrelevant,False
423-Mythe,Relevant,False
423-Symbole,Relevant,False
423-Homme,Irrelevant,False
424-Mythe,Relevant,False
424-Symbole,Relevant,False
424-Homme,Irrelevant,False
425-Mythe,Relevant,False
425-Symbole,Irrelevant,False
425-Homme,Irrelevant,False
426-Mythe,Irrelevant,True
426-Symbole,Irrelevant,False
426-Homme,Irrelevant,False
427-Mythe,Relevant,False
427-Symbole,Relevant,False
427-Homme,Irrelevant,False
428-Mythe,Relevant,False
428-Symbole,Irrelevant,False
428-Homme,Irrelevant,True
429-Mythe,Relevant,False
429-Symbole,Relevant,False
429-Homme,Irrelevant,False
430-Mythe,Relevant,False
430-Symbole,Relevant,False
430-Homme,Irrelevant,False
431-Mythe,Relevant,False
431-Symbole,Irrelevant,True
431-Homme,Irrelevant,False
432-Mythe,Relevant,False
432-Symbole,Irrelevant,True
432-Homme,Irrelevant,False
433-Mythe,Irrelevant,True
433-Symbole,Irrelevant,False
433-Homme,Irrelevant,False
434-Mythe,Irrelevant,True
434-Symbole,Irrelevant,False
434-Homme,Irrelevant,False
435-Mythe,Relevant,False
435-Symbole,Relevant,False
435-Homme,Irrelevant,False
436-Mythe,Relevant,False
436-Symbole,Relevant,False
436-Homme,Irrelevant,False
437-Mythe,Relevant,False
437-Symbole,Irrelevant,False
437-Homme,Irrelevant,False
438-Mythe,Relevant,False
438-Symbole,Irrelevant,False
438-Homme,Irrelevant,False
439-Mythe,Relevant,False
439-Symbole,Irrelevant,False
439-Homme,Irrelevant,False
440-Mythe,Irrelevant,True
440-Symbole,Irrelevant,False
440-Homme,Irrelevant,False
441-Mythe,Relevant,False
441-Symbole,Irrelevant,False
441-Homme,Irrelevant,False
442-Mythe,Irrelevant,False
442-Symbole,Irrelevant,False
442-Homme,Irrelevant,False
443-Mythe,Relevant,False
443-Symbole,Irrelevant,False
443-Homme,Irrelevant,False
1-Mythe,Irrelevant,False
1-Symbole,Irrelevant,False
1-Homme,Irrelevant,True
2-Mythe,Irrelevant,False
2-Symbole,Irrelevant,False
2-Homme,Irrelevant,False
3-Mythe,Irrelevant,False
3-Symbole,Irrelevant,False
3-Homme,Irrelevant,False
4-Mythe,Irrelevant,False
4-Symbole,Irrelevant,False
4-Homme,Relevant,False
5-Mythe,Irrelevant,False
5-Symbole,Irrelevant,False
5-Homme,Irrelevant,True
6-Mythe,Irrelevant,False
6-Symbole,Irrelevant,False
6-Homme,Relevant,False
7-Mythe,Relevant,False
7-Symbole,Relevant,False
7-Homme,Irrelevant,False
8-Mythe,Irrelevant,False
8-Symbole,Irrelevant,False
8-Homme,Relevant,False
9-Mythe,Irrelevant,True
9-Symbole,Irrelevant,False
9-Homme,Irrelevant,False
10-Mythe,Irrelevant,False
10-Symbole,Irrelevant,False
10-Homme,Irrelevant,False
11-Mythe,Relevant,False
11-Symbole,Relevant,False
11-Homme,Irrelevant,False
12-Mythe,Relevant,False
12-Symbole,Irrelevant,False
12-Homme,Irrelevant,False
13-Mythe,Irrelevant,False
13-Symbole,Irrelevant,False
13-Homme,Irrelevant,False
14-Mythe,Irrelevant,False
14-Symbole,Irrelevant,False
14-Homme,Irrelevant,True
15-Mythe,Irrelevant,False
15-Symbole,Irrelevant,False
15-Homme,Irrelevant,True
16-Mythe,Irrelevant,False
16-Symbole,Irrelevant,False
16-Homme,Irrelevant,True
17-Mythe,Irrelevant,False
17-Symbole,Irrelevant,True
17-Homme,Irrelevant,False
18-Mythe,Irrelevant,False
18-Symbole,Irrelevant,False
18-Homme,Irrelevant,False
19-Mythe,Irrelevant,False
19-Symbole,Irrelevant,False
19-Homme,Irrelevant,False
20-Mythe,Relevant,False
20-Symbole,Irrelevant,False
20-Homme,Irrelevant,True
21-Mythe,Relevant,False
21-Symbole,Irrelevant,False
21-Homme,Irrelevant,False
22-Mythe,Relevant,False
22-Symbole,Irrelevant,True
22-Homme,Irrelevant,False
23-Mythe,Relevant,False
23-Symbole,Relevant,False
23-Homme,Relevant,False
